gender,tweet
male,@glassj3n the Internet has a wonderful way of exposing plagiarism...and deals out karma well too.
male,@Mamlouk_Palace See How is the kids happy with sponge pop pastry. Restaurant team &amp;chefs https://t.co/S2Ezr6YVDk
male,Making the descent: Marines hone fast-roping skills - https://t.co/rhVvVlohny (press release) https://t.co/7xgsLsGqOx #usmc
male,@LilMsgss @amizkel @TrumpIssues The period I'm referring to is BEFORE CHINA was unified.
male,"I can't wait for all the basic white girls to cover ""Hello"" and just butcher it"
male,"Facebook
If you're an artist and want exclusive beats for the low go checkout my
https://t.co/5ZZ92SIRYL https://t.co/1rwvvJjijY"
male,Whats with all these questions on the TL?
male,Reimagining the #webdesign process by @InVisionApp - https://t.co/Vmb0OZU67e https://t.co/hFlWR8tfOl
male,Stats for the day have arrived. 2 new unfollowers. Stats via https://t.co/BoCEM9McMy.
male,@scholesmufc93 Not as bad as when they put #NoMakeUp and it's a picture so dark you can just about make out their eyes and teeth.
male,"@LunaTehNox @realDonaldTrump
 Hypocrites don't disclose
 Genius businessman under status quo
 His platform is bringing it back to the
US"
male,And Just like that Arian Foster is out for the season.
male,___ Was going back from a late dinner and got some amazing gelato (ice cream) no ice cream has ever_ https://t.co/gdV8K2IYLH
male,(US Stocks close narrowly mixed; Apple off +3%; investors eye earnings and central banks) -CNBC https://t.co/CrAYcmVksX
male,Stats for the day have arrived. 3 new unfollowers. Stats via https://t.co/yyLKjPMEAr.
male,"Apparently there is a entire TV show dedicated to ""Tween"" dancing. The star is now under federal indictment for... https://t.co/Pxo883Wvf4"
male,In class and all I can think about is hibachi
male,Part 1: The TeachersHeart https://t.co/LNJRBVKcsa
male,"I thought now was an instant, fleeting moment, gone before you realise, and then I discovered Amazon dispatching now. *11 hours later*"
male,"Like the title one of her songs @elliegoulding is my everything , my inspiration , my motivation , my joy. Cant wait to see her on tour ____."
male,"Build a Transforming Workbench, Desk, and Storage Unit: If you dont have a lot of space, you need to make cre... https://t.co/RUiucVCx7U"
male,#FFIEC introduced new tool with a measureable process to inform assess organizations #cyberrisks https://t.co/CobxYz3ez2
male,Win A Copy Of The CD Made In New York From Project Grand Slam https://t.co/RPJZ1h5ohr
male,The Meacher amendment on  #taxcredits  passes with help of @LabourLordsUK . This means govt plans on #taxcredits will be delayed .
male,I wish there was a medicine for #fuckboys. They're easily 97% of the male population. All I can do is make sure I don't turn into one ever.
male,@Maccer1988 Shure do it I don't care he stood and looked at me while I was I pollerton Saturday
male,Get off them bars get sleepy grab a lil bitch and go lay it down.
male,Oh how I love the kids who sit in sci-tech and just play league
male,// @malumrrito // whenever I see your @ I think of burritos and I love burritos and malum
male,"6 Biggest Misconceptions About Data Scientists, Data Engineers and Business Analysts. https://t.co/5zHo8ltGFY #growthhacking"
male,@bballbreakdown wish I could have gone and seen you coach https://t.co/bKh78Rh5z5
male,"There's A Huge Problem With 'Halo 5' Reviews, And Only One Way To Solve It https://t.co/tLFosVpEgw #ROIMentor #yycwalks"
male,"@frayedjeanz and you said you are dumb...this is not survey,this is living life...you learn a thing from me and i learn how much you hate me"
male,Mile and a half pb smashed today___
male,@lynnie5155 that I agree but the numbers you gave had no bases cause they was connected to nothing that the details I was looking for!
male,"@KOLATRL i dont see his 30 sec on Rih's song as his #1, meanwhile Abel already has CFMF and The Hills __"
male,No. Haven't taken the new #IOS update &amp; still have the same phone #iphone6plus I got in Jan.  https://t.co/WkKAEpTpQL
male,"Lewis Hamilton just won his third Formula One championship, matching the great Ayrton Senna https://t.co/Ws65ttvlZ1"
male,Adele and which artist would have to collab with each other to make the worlds chestiest chest pain song ?
male,"And if you know Richmond, we don't go over there lol"
male,My little mate and daughter is 2 tomorrow... That shit cray
male,Heather Armstrong (Dooce) on the Art of Dealing with Online Criticism: Todays guest on Hack the En... https://t.co/lpvkBZseYk #Marketing
male,@GuidoFawkes DO you think the Beeb will even bother with this?
male,"@DCUTV I prefer to leave the finals for cup games. Prefer league champ based on top of the table, myself. But, different culture here."
male,@Lovely_Hatred2 He hugged her and smiled softly.
male,Didn't keep up with tech news last week? Here are the five biggest things you missed: https://t.co/0WlOLZYyn5 #businesstech
male,Can't wait to play @Bedroom_Bar - London - UK this Friday and @exeter_phoenix - Exeter - UK with my mate @larryskg on Saturday!!
male,"Hollywood's bold and daring at the "" Costume Institute benefit Met Gala | Trending News https://t.co/ht4utgKhbl"
male,"Lego""@AyoMiideO_: And let the locking tummy process begin. _"""
male,@Realerr_ bitch better sit back and watch me clutch it lol
male,"I hate when there enough coffee in the pot where you can have a couple cups, but you don't want to make another pot for 1 more cup. UGGGGGH"
male,@inihelene depends on the situation I suppose but recording evidence of a crime is always important.
male,@mdoness I was at @NT_Brockhampton  yesterday and came across Medlar for the first time -  fab place  @carnsightcam https://t.co/gFOgs7KIq8
male,"@KrystcnRitter | Exactly! They've taken time out of their day to copy you, says a lot. Nah, you're the cute one!"
male,@TRPantherNation Brady and Rodgers have shown the same body language as cam but they are great leaders and cam is immature. How can that be?
male,New whiteboard messages from the young guys  @cbcmountainlake have to make a pastor smile! #JoyOfMinistry https://t.co/wtfpE1nIpo
male,@DStv hi.. My decoder gives me problems.. It just started scanning and stopped.. Now its off again and just flick the red light.
male,@steven_lennox there ain't many that fall in the world  class bracket. That is used too often very few can say they are or were
male,Waiting for U2 at #The02 with @berylatfulton @jeremyballie and @Morag09 https://t.co/YhIoDlMSQ6
male,@dennisculver crunchyroll and get murdered
male,"Trying to change the ones around you is like trying to change yourself, it's needless and shouldn't be done #love #life #gayuk #lgbt #beauty"
male,Pucketts Grocery and Restaurant made it onto the best restaurants in the nation! https://t.co/2qcUEEnopR
male,All the #magic in Hath No FURY is based on REAL #Magick! https://t.co/jwpsVhAU1E
male,AgShowcase: Climate Adaptive Agriculture: Data-driven innovations in the field: https://t.co/80OdC7lf1r via YouTube
male,"@DanoBearr The fact that you ""were"" bored &amp; GOING AWAY! Jesus Christ! Keep up w/the class....."
male,@HIMANSHU i had a dream i seen heems and told him we going flag shopping
male,Watching Beyonc and @NICKIMINAJ practising there stare down __
male,@seanfromenderby Alan Parduke as the villain
male,I hate when u tell someone u love them and they ignore u __
male,@sportchippers @BBCRNS you started the show with 'please phone in and tell me how close do you think DF is to the sack?'
male,@BullandFox my knock on Benjamin is he stood and watched that first play instead of blocking the guy who picked up fumble
male,@B_thewave yea it's a wrap if all a chick can bring to the table is looks and some sex. Shit doesn't hold any value. Only cool for a second
male,@danebankblue @MoonbeamMcfc Man City fans will be clapping on the 35th minute on saturday when cheering the 5/6th goal they've scored..
male,And it's fucking female
male,A new day another bone head move by @nascar no new tracks among the five year agreements with tracks for sprint cup races
male,I can't believe I have two mutuals who shade zico and none of them notice when I subtweet them smh
male,The Game - Mula ft. Kanye West https://t.co/DgeX7aT9oj via @YouTube
male,Good vibes and a GREAT view of Abu Dhabi! Tonight we toast to the good life _ #SilentGrind_ https://t.co/TJgg7wDZsa
male,"No #CSGO for me tonight. Played 3 games today and won them all, including a 16:2 stomp on Mirage. Happy about it."
male,The rest of these workers are hating cause I do is chill and listen to music . Lol
male,Yes! The tax credits will be delayed. Some form of victory.  #taxcredits
male,@MaqsudaMotala I'm guessing you think Mossad are behind Isis and 9/11?
male,Fuck all that back and forth. This ain't a game of tennis
male,"@EternalTheMC Well, it depends on what non-multiplatform games you want and what your friends play, imo. Most of my friends play Xbox"
male,"@Omojuwa If God can fix all Nigerian headaches, are Nigerians prepared enough for God to fix Nigeria and Nigerian catastrophies"
male,"@JPollock1996 As someone on Question Time said, ""Wales is now a third world country, make Stephen Crabb the leader and scrap the Assembly"" _"
male,"""Privacy and anonymity are not the same, and they do not deserve equal treatment."""
male,@mrplimsole not so sure. Think he's good with decent players but for the moment we need organised defence and scrappy results = Moyes
male,Be stupid and act like bullets dont hurt.
male,Number crunching for the past day - 2 new followers and NO unfollowers. Stats via https://t.co/o8azQxtBTU
male,Wen i try too sign in it says unable too sign in But i was just told that i needed the Play station plus@AskEASupport
male,@KennedyKr_is My house is really old and really small (40' x 24'). It's time to upgrade. I'll cut my own logs this spring for some lumber.
male,"Sept New Home Sales drop to one year low of 468K vs the 550K expected, -11.5% from August and August numbers revised lower. Rates drop"
male,@TypicalGamer Hey my name is Travis and I would want to know when you will play Ark with Hike? P.S. Love your streams!!!!!
male,"It's been real okc, Ah nigga Back on the road with it. To all my Familia and loved ones yall be safe and Keep Grindin mane __"
male,Good Afternoon Wonderful Friends - From Paul and Turk at Forest Park!  Have a Fantastic Day! https://t.co/Xr37XmqVIi
male,All the places and spaces I've been
male,"@JaneeAlexisss There is a business ownership company expanding and looking for some professionals, can I share the information with you?"
male,I use a prick stick and the hairs round my cheerio. No one ever realises it's not real facial hair  https://t.co/8iQCkrYYWG
male,"@FoxSportsWest @CIFSS @Serra__Football @AlemanyFootball @ Time for Alemany to Lay it on the line, #BringIt"
male,@voyeur_villa See Sonia already took a bath and now Dizi is home and she going to take a 3min bath they could took a bath together SAD SAD
male,#FromDuskTillDawn renewed for season 3 ___ cant wait for the finale tomorrow
male,@WitnessToAllah thankyou so much. Stay blessed and happy.
male,Looking forward to watching real housewives tonight.@TanyaBardo7 and @AmpikaPickston1 always make me lol __
male,This rant is on point. Music is about entertainment and its that simple. https://t.co/Sq2TZGiQV5
male,"Lounging for a lucky 13th time:  The Sigma Lounge https://t.co/34cqZIxLhx via @examinercom, @asnortonccsllc, @frontrhocenter"
male,And a cheque for 150 off the tax man #happydays
male,"Check out Too Late

New music from @YES_ITS_CANNON and @Its_Isiah20 __
https://t.co/3wiYwU7NIt"
male,"I just wanna talk my shit and get my bread, before I end up dead."
male,@Samd96 there ya go! I say we gather the crew and go during winter break when it's all Christmased out
male,"After all is said and done, a lot more has been said than done."
male,I like the word autumnal... reminds me of a-thumb-nail ahahahaha
male,Features Effectrode article on the merits and disadvantages of circuit boards compared with point-to-point wiring. https://t.co/B7GXZxSTnU
male,"""If you love someone very much and they want to destroy you, that is enough to destroy you."" - Molly /People In Trouble/ by Sarah Schulman"
male,"@CriminalBite *Sherlock moans, feeling himself get slightly warm, eagerly kissing James and flicking the lock. He hums into his mouth*"
male,@OHH_thatsTikiii _ tiki got all the hoes
male,Sometimes I get real wild and binge-sign a bunch of petitions.
male,There is obviously something mentally wrong with Hardy and everyone in the Cowboys organization is afraid of him https://t.co/XuqafLWeR6
male,Carrots and Sticks. #StartWithWhy  URL:https://t.co/R4yTitRqeZ
male,@SimonMaloy This is a bad take. You should've deleted and apologized for *this* tweet.
male,And me and my best man @SeanPanache. https://t.co/m34W6JCEpI
male,Still looking for the free bar https://t.co/WiQ3VaW7js
male,@kentra_ I got 2 pairs of nudies already and I fuck with them a lil but I haven't copped anything palace you feel me
male,@dirtysocks66 or ask the Jets as they blew a minute by not calling timeouts
male,@RhosWhiting @NeurolawGuy And sometimes have subsidised bevy and a wee kip.
male,"""Spectre"" world premiere: Daniel Craig and his co-stars certainly looked like special agents in their sophisti... https://t.co/QGZCzlCt6h"
male,"I had a dream where I was playing EarthBound and the only thing people would talk about was Undertale.  Phew, glad it was just a dream. :^)"
male,"Verbatim: Donald Trump on the Rough Life, and Getting $1 Million From His Father https://t.co/Swe58X188W via @NYTPolitics"
male,Chris Got On The Black Toe 1s __
male,Having a look at the @ThoughtBubbleUK layout. Too many great guests placed everywhere. Not sure where I should go first.
male,"Now we've won the cup the record amount of times, they've decided to name the competition after our stadium #FACup _"
male,There is power in the cross. #Jesus #HISLyrics #IamHIS https://t.co/j3MIwEMdKd
male,"EM Rundown: Policymakers set the tone in China, Turkey, Russia, and Poland  https://t.co/C0ej2S67C0"
male,Robert Walker And The Soul Strings - Stick To Me (RCA Victor - 47-9304 - 1967) https://t.co/GVRR88DKFW
male,"Architecture organization offers public panel on high-speed rail, light-rail ... - Dallas Morning News (blog) https://t.co/AP6W4ttaxM"
male,@jonessarah2000 I see your positive tweets and I appreciate it.
male,11.06.15 the Battle @ me casa  finally starts #LipSyncBattle
male,"@libbyswan_ i am ready, play the music"
male,Well if the smoking and drinking don't do me in I guess the Bacon and hot dogs will get a shot https://t.co/SRggXjUXYk
male,"@supremeproducts  check out the new saddlery now open @westmidsaddlery , everday bargains in store and online"
male,"The View Calls Ben Carson Pathetic, Despicable for Abortion Comments: How do I loathe thee? Let me coun... https://t.co/BOAKmEz4MT"
male,Side nikka of the year __
male,The life lessons I have learnt in the last for years has really transformed me into a better version of myself..
male,WHO links processed meat to cancer -- and vegetarians get smug on Twitter - CNN https://t.co/CU8bVUzSTO
male,@oxirb that's probably why niggas don't be eating yo ass _ calling them lame and shit lmaooo
male,"The ""May I fix your computer"" #headshot #actorslife #nycactor #headshots https://t.co/6b0XmFFRMS"
male,@mariahayoung and the info you gotta write
male,@b_ristimaki and I'm 26 I thought I was hot as ever..
male,Dirt nasty and shit
male,@PaulICMYAS you make wishes come true. And your humor is great! The love of your father shines with you Paul!
male,Stanford opened at 11 and is now a 13 point favorite at WSU
male,Microsoft makes applications smarter with Project Oxford updates: As the cloud and mobile computing revolution... https://t.co/Bdl2IwEu95
male,I love how busy @alfonso_ribeiro since @DancingABC and that he is still supporting his alma mater! &gt;.&lt; Congrats for Unwrapped 2.0 and AFV!
male,"""One child, one teacher, one book, one pen can change the world."" - Malala Yousafzai #quote"
male,I seem to keep buying The Smashing Pumpkins - 'Mellon Collie' on CD and gifting it to people spontaneously then buying it again
male,Stay positive and good things will happen.
male,@Toothpick_Bevis What is your point?..look man this is not the tennis page for one all they do is update the year schedule and everything
male,"The most awards and endorsements of any children's mattress company, as well as the best warranty in the industry. https://t.co/mDGmxr4wU7"
male,"Some people just do whatever they feel like to get whatever they want, and don't even care about the people they step on in the process"
male,Killed the interview! Here's to a raise!!!!__ I got laundry to do!
male,I wonder how the twins feel about jack not wanting the Internet in his life anymore
male,@JoseFranco_ daily caller always wins the contest to most quickly take my joking tweets entirely too seriously
male,@Paula_Jayne_ LOL.....I don't do it for me ___ and love ya pic
male,"No matter the name they all want one thing - centralized political power. Enlist with us at https://t.co/itkV9SiPIW
https://t.co/SJOjWCisZD"
male,".@yossarin lol That would've been a great idea, ""On three, everyone goose the person to your left!"" hahaha (but don't act goose! #Respect)"
male,"""What, you're taking @Fraggle85 to the opening night of #Spectre?! Wow, what a guy. You're incredible!""

Tell me about it."
male,"By @msngscrews via repostwhiz app:
""Call my team the Missing Screws"" Check out the full song off of_ https://t.co/gkjM9UOVAQ"
male,@KweenSavage lol that shit irri dawg and they wonder why idgaf but will give the ones that deserve it thy respect
male,Planned U.S. patrols to raise stakes with Beijing in disputed South China Sea | The Japan Times https://t.co/IyPbi1GTVm
male,@susannareid100 @davidwalliams You looked sensational  and classy Susanna
male,The Impudence of Rabiu Kwakwanso and his Fulani brothers - by FFK: Written by Femi Fani-Kayode...Read below..I... https://t.co/v8ClaqeORw
male,glad to have a nice chat despite crazy amount of work and the unholy time
male,How many followers do you get everyday? I got 1 in the last day. Growing daily with https://t.co/JzckR3ub8H
male,@PrestigeDiesels Yeah... I had to nail my mat to the floor! @LeahRebeccaUK
male,"@warren_potts93 Yeovi isl just after Stevenage, I would definitely rest some for the Yeovil game"
male,My life is complete now that @MoniqueD__ and @ahook817 are fallowing me.
male,JUST LISTENED TO 4 WALLS AND ITS GOOD. THE MV IS AESTHETIC
male,Foto: Concert Bring Me The Horizon __ https://t.co/JiqYRKe3Ct
male,@bbclaurak now Lady Hollis. If she wins this it will scupper the Bill?
male,@RobKoenigTennis Certainly not a sport for sissies  &lt;&lt; new t-shirt Rob? Just kidding. That line had me rolling in laughter on the floor!
male,@poornigger id laugh but it's just painfully funny reading android and good in the same sentence
male,What Makes SPECTRE Bigger And Better Than Skyfall? https://t.co/bGZlWb9Hc5 via @YahooScreenUK
male,@avestal I'm hope all the gods not dead movies end like the first by having the plot end with a newsboys concert
male,"The realist person I know, my boy #jr. I'm gonna make it happen for us! https://t.co/ChW2VSf3Oj"
male,The Big Sleazys Insane Governors Race https://t.co/wM3pxiCeDt via @thedailybeast
male,I'm seeing the instructor today:-) my last lesson no thank you
male,"Cobblers chief exec James Whiting has revealed the club owes the taxman (HMRC) 99,000."
male,"really cool look, age and height? #icmyas P https://t.co/1EGIIWUV6R"
male,im hungry and hell is hot
male,"@VibeEntGrp are proud to present Vibe Hull and Vibe Birmingham, hit @deyemi_a for more details https://t.co/pDx9M9S3xM"
male,"@b975valerie my wife says its the worst, I feel so bad for her during that time"
male,@akitch33 @Air_MAX21 one time I found a spider and I 360 YY no scope ladder stall vacuumed it up
male,FY 2017 BUDGET WMATA https://t.co/axWE7AFoU4 via @Change
male,@WesleyLowery In Japan every car is the quiet car. And it's kind of nice.
male,"The new Oracle Golden Gate Cloud Service integrates Public Clouds with Private Clouds
 #OOW15FR #oow15leoff @easyblogs"
male,Picked up Gabs at school and took her with me for a hospital visit. She entertained herself by taking_ https://t.co/hrYrZtXvTt
male,Big Sean Feat. Kanye West and John Legend - One Man Can Change The World https://t.co/DPCrBtnRLM #SoundcheckiRadio #TheCYPHER
male,Marion Cotillard - Enter The Game - YouTube https://t.co/fJVVrvtLdJ
male,"@BBCSportScot interesting to see you binned the biggest tie in the league cup quarters, for highland Derby, could this be because sevco"
male,"Forget unfollowers, I believe in growing. 5 new followers in the last day! Stats via https://t.co/B4tWOSRlXv"
male,Remembering the #skyfall premiere #iwasthere #Bond #timeago #spectre https://t.co/MkpemTRWZh
male,Mints and chocolate should NEVER be combined
male,@andyfitzpaddy @BraidenHT Yes its pushed front and centre by her amazing bra
male,Most people can fuck up on they job and get a do over...not no fuckin Doctor!
male,"Read this? @dhaval241086
@BhateKetan
@Sharanyashettyy
@RevolutionMonk

Brilliant article on govt. media strategy

https://t.co/efdtl9Kz69"
male,@RuDumbBlad what would the world do without Lima?
male,@megabusuk 'loosing' a bus so we are delayed 90mins. Need to work on your service and stop hiring fucking imbeciles.
male,Eme RnB singer comes through with yet another catchy tune but this time around is the remix of his previously... https://t.co/jCJje7p9ux
male,Getting called into work on the day you're supposed to be off is never a fun day.
male,@SoulArtsvgc the lowest end model that has PS3 and lower gen streaming capabilities is the one you're using?
male,"Payday Friday, Halloween Saturday and I'm not going out all weekend"
male,Also Xhosa girls will insult you all day then get angry at you for not smiling. That's the love that I want
male,Worried about the wrong stuff  https://t.co/UBijRxmU2L
male,@TheHaloCarter let's be real I'd probably drunkenly eat the ham before I left the house
male,Somehow ended up like 10 feet from the new MLB commissioner
male,#TonyBlair's Iraq 'Apology' These apologies are good for a position in heaven. But what about ruined countries and lives on earth?
male,@wallflower_ish @prtxt and later will not fly with national bird? Is this the kind of nation Gandhi dreamt about?
male,The difference between being 21 and watching Cartoon Network and being 21 and watching the Disney Channel is pedophilia.
male,@BeenTheReck no longer bout the love for music... only bout the cash now
male,@jonbeetle @UkTriChat I don't know thought it was a extra event.I need to do a IM 70.3 not sure when tho. Local middle distance and LCW 4me
male,Really the only nudes you need in your life. https://t.co/0XeJQj4803
male,"@keketsokay. I always lose out on the intrigue, the deceit and lies of this drama when I'm doing after noon shift #sad #Umlilo"
male,Been living with @jothogo for 2 months and I just realized I hadn't followed him on Twitter. Lolz
male,Ah I see make it seem like it's the fans that asked for 5 albums in 5 years like piss off we never asked for that!
male,"@itstcclcte Princess I see this and your retweets, is everything okay?"
male,I'm on everybody case today. Try me and see.
male,Convinced that the person in charge of the thermostat at UTSC just spins a wheel of temperatures to determine where to set it
male,"Found in my room: a bowl with a sheet that doesn't fit my bed, a hat, and a used match."
male,@ThaHoopGawd any idea when rest of the rooks get scanned in? Kinda voiding dynasty and rising star till then. Any info is appreciated fam.
male,@AbelTehHammer Yeah it did but nothing can keep down the Jak Life for long lol I will toke up and feel like I am on cloud 9 once again.
male,"#lt I'll laugh at all the facts then I'll feel like bum
Then I tell myself I was just smoking weed &amp; not crack and give myself a pat"
male,I Remember I Was On A Date And I Couldn't Snap Or Put It Up On My Twitter Cause My Girlfriend Followed Me On Both
male,"I never heard Prior, but i can dig Eddie Murphy being the GOAT. https://t.co/39Rz6at7lm"
male,#GavinWSewell #mixedmedia #art of the day:  https://t.co/6um6GjhZ0r https://t.co/fN8PWcJnYX
male,@sleepydjh kind of agree w/ you. like sexuality is a personal thing and theres obv a reason d&amp;p choose not to talk about it.
male,"Rush today exposed the Elites, Right and Left. Working across the Isle has only advanced the Liberal Agenda! It didn't work then, won't now!"
male,"SENATORS AND CONGRESSMEN YOU MUST JOIN TEAM BERNIE SANDERS, IF YOU WANT OUR VOTES!"
male,Nigeria doesn't have leaders that's are interested in the people and standard of living yet.
male,@BostonRavenFans @RussellStReport go watch the football copy without a commentator who blames any and everybody because they don't know.
male,Getting ready for #WLPC_EU Berlin. Great #WiFi topics waiting to be presented #DontMiss the next #WLPC in Phoenix https://t.co/jbBwY7SkxD
male,"@robphillips3 @dallascowboys It as his first game in awhile, and big pressure was on his shoulders too. He did much better than Weeden"
male,"@SpotifyCares You guys have a bug on the Mac app where when chart songs change spots, the music link doesn't change https://t.co/WJh8Y10nM5"
male,"just saw lin jarvis press conf  after the decision against VALE ,really like this guy, although spanish press pushed him hard"
male,"that feeling when you are broken up with someone and you are friends and all, but those feelings still linger."
male,"#SocialMedia is not just #selfies and #memes it's also serious #crime fighting. #WhatsYourSuperPower?

https://t.co/l2hCWPAIy8"
male,Taking losses apart of the game. If you can't take that then hang up ya jersey now!
male,The only thing better than chilli is bacon chilli. #baconwithanything https://t.co/AfANPdXJfR
male,@Bonn1eGreer Cameron could choose to sidestep the HOL. What problems are afoot between #Tories and IFS.
male,@Jenfield67 @blackrepublican Negative. I look to no one but myself and my network.
male,"@TheMartinRyan Thanks, bud.  I miss you and hope you and the fam are doing well!"
male,I thought the @lithespeed theme @ #AgileDC was spooky not smart and beautiful ladies as it seem to be :-) https://t.co/lpirpIhLGn
male,Nick Jonas and Demi Lovato to Embark on Joint Tour in the U.S. and Canada - https://t.co/B3Bci6JdIy https://t.co/uIL42Oqdpa
male,Ladies and gentlemen... The amazing Hacob @JakeHale_ https://t.co/cvtOKm6piK
male,"Subdued the current archwitch ""PARENTALIA""! https://t.co/gYv8Ta7aIc #Valkyrie Crusade"
male,"Enter the Unique Baby Sweepstakes for $5,000 AND free formula for a year! https://t.co/35RT1txjEE #uniquebaby  https://t.co/U39q9G3Cmh"
male,"Fair Winds and Following Seas, to @DDG82 USS Lassen their motto ""From Courage, Life..."" #presence-matters  #Navy https://t.co/Jr5GhfJDk9"
male,"Lmao ""we had sex...and prayed after"" CUH...LMAAOOOOOO ITS NOT FUNNY BUT DAMN...SHE LET HIM BEAT SO IM MEAN...WHAT?"
male,"Kendrick is not a headliner in certain areas and with more popular artists on the bill, folks gotta realize that, stop making him look crazy"
male,@dReeaLL yes indeed and maybe a bit of maturity and maybe people should stop acting like freaks over the internet that would be good too
male,Here are some potential #taxfreesavingsaccounts #TFSA avenues the Liberals could take and #tax changes as too  https://t.co/hTAEBf7ReX
male,@HeidiVoight Thank you for taking the time to support #BreastCancerAwareness #ThinkPink
male,"Is watching The Robin Hood of El Dorado (1936) on @tcm
https://t.co/7Tdgdi4vHy"
male,"@SECbooger I think Kyle Allen is hurt, both his at his shoulder and between the ears. I feel so bad for the young man."
male,"@ZBierband YO ZBB, played our last seasonal gig at St. Jude.  Good times had by all.
Remember the more you drink, the better we sound!"
male,It's 103 between her &amp; me and only 92 in Daytona.
male,32 Pictures That Will Change The Way You See The World https://t.co/Z7o7sbGoFW
male,@HalieRG88 and that's a promise I will prove u! Fucking gonna prove it!
male,"I voted for i Fratelli, Gino&amp;#39;s East, and 2 others in Best Pizza in Dallas Tournament - Round 2 https://t.co/s2UlmOSMSr"
male,If you're on my fantasy team you're supposed to be good. Get off your knees and stop blowing it for me.
male,@MichaelHJordan no he wasnt. Did well with the hornets
male,I support 100% and if any ladies need a me . https://t.co/zczhFfbeHy
male,"Except for a couple of broken plays, the Jets did a really good job countering what New England does well on O and exploiting D weaknesses"
male,"@smokyburnout You would imagine they did, given they're named Time and all."
